name;number;set;warehouse_code;price;image;variant;sold;added_at
Amoonguss ex;11;Journey Together;K100R1P0382;2.72;https://sklep839679.shoparena.pl/upload/images/1/img1838.jpg;common;;2025-09-05
Ogerpon ex;112;Twilight Masquerade;K100R1P0383;5.75;https://sklep839679.shoparena.pl/upload/images/1/img1839.jpg;common;;2025-09-05
Zacian ex;198;SVP Black Star Promos;K100R1P0384;3.50;https://sklep839679.shoparena.pl/upload/images/1/img1840.jpg;common;;2025-09-05
Team Rocket's Spidops;187;Destined Rivals;K100R1P0385;31.97;https://sklep839679.shoparena.pl/upload/images/1/img1841.jpg;common;;2025-09-05
Team Rocket's Crobat ex;217;Destined Rivals;K100R1P0386;26.44;https://sklep839679.shoparena.pl/upload/images/1/img1842.jpg;common;;2025-09-05
Team Rocket's Wobbuffet;203;SVP Black Star Promos;K100R1P0387;39.45;https://sklep839679.shoparena.pl/upload/images/1/img1843.jpg;common;;2025-09-05
Dudunsparce;229;Paldea Evolved;K100R1P0388;27.69;https://sklep839679.shoparena.pl/upload/images/1/img1844.jpg;common;;2025-09-05
Swinub;165;Journey Together;K100R1P0389;13.11;https://sklep839679.shoparena.pl/upload/images/1/img1845.jpg;common;;2025-09-05
Tropius;195;Paldea Evolved;K100R1P0390;41.06;https://sklep839679.shoparena.pl/upload/images/1/img1846.jpg;common;;2025-09-05
Lycanroc;166;Journey Together;K100R1P0391;15.40;https://sklep839679.shoparena.pl/upload/images/1/img1847.jpg;common;;2025-09-05
Copperajah ex;245;Paldea Evolved;K100R1P0392;8.20;https://sklep839679.shoparena.pl/upload/images/1/img1848.jpg;common;;2025-09-05
Yanmega ex;3;Destined Rivals;K100R1P0400;3.97;https://sklep839679.shoparena.pl/upload/images/1/img1849.jpg;common;;2025-09-05
Arboliva ex;23;Destined Rivals;K100R1P0401;2.87;https://sklep839679.shoparena.pl/upload/images/1/img1850.jpg;common;;2025-09-05
Yanmega ex;3;Destined Rivals;K100R1P0405;3.97;https://sklep839679.shoparena.pl/upload/images/1/img1851.jpg;common;;2025-09-05
Cetitan ex;65;Destined Rivals;K100R1P0406;2.77;https://sklep839679.shoparena.pl/upload/images/1/img1852.jpg;common;;2025-09-05
Arven's Mabosstiff ex;139;Destined Rivals;K100R1P0407;2.77;https://sklep839679.shoparena.pl/upload/images/1/img1853.jpg;common;;2025-09-05
Cynthia's Garchomp ex;104;Destined Rivals;K100R1P0408;7.05;https://sklep839679.shoparena.pl/upload/images/1/img1854.jpg;common;;2025-09-05
Ethan's Ho-Oh ex;39;Destined Rivals;K100R1P0409;6.10;https://sklep839679.shoparena.pl/upload/images/1/img1855.jpg;common;;2025-09-05
Electivire ex;69;Destined Rivals;K100R1P0410;3.19;https://sklep839679.shoparena.pl/upload/images/1/img1856.jpg;common;;2025-09-05
Dondozo ex;66;Destined Rivals;K100R1P0411;2.35;https://sklep839679.shoparena.pl/upload/images/1/img1857.jpg;common;;2025-09-05
Arven's Mabosstiff ex;139;Destined Rivals;K100R1P0407;2.77;https://sklep839679.shoparena.pl/upload/images/1/img1858.jpg;common;;2025-09-05
Basculin;24;White Flare;K100R1P0412;3.20;https://sklep839679.shoparena.pl/upload/images/1/img1859.jpg;common;;2025-09-05
Woobat;119;White Flare;K100R1P0413;35.21;https://sklep839679.shoparena.pl/upload/images/1/img1860.jpg;common;;2025-09-05
Kyurem ex;28;Black Bolt;K100R1P0414;2.35;https://sklep839679.shoparena.pl/upload/images/1/img1861.jpg;common;;2025-09-05
Excadrill ex;46;Black Bolt;K100R1P0415;1.85;https://sklep839679.shoparena.pl/upload/images/1/img1862.jpg;common;;2025-09-05
Reshiram ex;20;White Flare;K100R1P0416;2.77;https://sklep839679.shoparena.pl/upload/images/1/img1863.jpg;common;;2025-09-05
Zorua;61;White Flare;K100R1P0417;32.91;https://sklep839679.shoparena.pl/upload/images/1/img1864.jpg;common;;2025-09-05
Karrablast;9;Black Bolt;K100R1P0500;1.50;https://sklep839679.shoparena.pl/upload/images/1/img1865.jpg;common;;2025-09-09
Patrat;72;White Flare;K100R1P0501;2.60;https://sklep839679.shoparena.pl/upload/images/1/img1866.jpg;common;;2025-09-09
Tympole;19;Black Bolt;K100R1P0502;2.40;https://sklep839679.shoparena.pl/upload/images/1/img1867.jpg;common;;2025-09-09
Golurk;43;Black Bolt;K100R1P0503;2.40;https://sklep839679.shoparena.pl/upload/images/1/img1868.jpg;common;;2025-09-09
Archen;50;White Flare;K100R1P0504;2.85;https://sklep839679.shoparena.pl/upload/images/1/img1869.jpg;common;;2025-09-09
Reuniclus;39;Black Bolt;K100R1P0505;23.50;https://sklep839679.shoparena.pl/upload/images/1/img1870.jpg;common;;2025-09-09
Gurdurr;126;Black Bolt;K100R1P0506;30.85;https://sklep839679.shoparena.pl/upload/images/1/img1871.jpg;common;;2025-09-09
Keldeo ex;159;White Flare;K100R1P0507;7.85;https://sklep839679.shoparena.pl/upload/images/1/img1872.jpg;common;;2025-09-09
Delphox V;27;Lost Origin;K100R1P0508;3.19;https://sklep839679.shoparena.pl/upload/images/3/img1593.jpg;common;;2025-09-09
Hisuian Goodra V;135;Lost Origin;K100R1P0509;2.87;https://sklep839679.shoparena.pl/upload/images/3/img1594.jpg;common;;2025-09-09
Drapion VSTAR;119;Lost Origin;K100R1P0510;4.70;https://sklep839679.shoparena.pl/upload/images/3/img1595.jpg;common;;2025-09-09
Shadow Rider Calyrex V;74;Chilling Reign;K100R1P0511;6.10;https://sklep839679.shoparena.pl/upload/images/3/img1596.jpg;common;;2025-09-09
Delphox V;27;Lost Origin;K100R1P0508;3.19;https://sklep839679.shoparena.pl/upload/images/3/img1597.jpg;common;;2025-09-09
Gyarados ex;45;Scarlet & Violet;K100R1P0512;7.42;https://sklep839679.shoparena.pl/upload/images/3/img1598.jpg;common;;2025-09-09
Iron Crown ex;81;Temporal Forces;K100R1P0513;4.08;https://sklep839679.shoparena.pl/upload/images/3/img1599.jpg;common;;2025-09-09
Arcanine ex;32;Scarlet & Violet;K100R1P0514;5.50;https://sklep839679.shoparena.pl/upload/images/3/img1600.jpg;common;;2025-09-09
Radiant Eternatus;105;Crown Zenith;K100R1P0515;2.82;https://sklep839679.shoparena.pl/upload/images/3/img1601.jpg;common;;2025-09-09
Garganacl ex;89;Stellar Crown;K100R1P0516;3.45;https://sklep839679.shoparena.pl/upload/images/3/img1602.jpg;common;;2025-09-09
Charizard ex;54;Paldean Fates;K100R1P0517;17.14;https://sklep839679.shoparena.pl/upload/images/3/img1603.jpg;common;;2025-09-09
Mamoswine;82;BREAKthrough;K100R1P0518;21.15;https://sklep839679.shoparena.pl/upload/images/3/img1604.jpg;holo;;2025-09-09
Sylveon ex;86;Surging Sparks;K100R1P0519;8.10;https://sklep839679.shoparena.pl/upload/images/3/img1605.jpg;common;;2025-09-09
Prime Catcher;119;Prismatic Evolutions;K100R1P0520;5.50;https://sklep839679.shoparena.pl/upload/images/3/img1606.jpg;common;;2025-09-09
Survival Brace;164;Twilight Masquerade;K100R1P0521;2.72;https://sklep839679.shoparena.pl/upload/images/3/img1607.jpg;common;;2025-09-09
Rotom V;58;Lost Origin;K100R1P0522;3.66;https://sklep839679.shoparena.pl/upload/images/3/img1608.jpg;common;;2025-09-09
Melmetal ex;105;Stellar Crown;K100R1P0523;3.90;https://sklep839679.shoparena.pl/upload/images/3/img1609.jpg;common;;2025-09-09
Koraidon ex;124;Obsidian Flames;K100R1P0524;5.28;https://sklep839679.shoparena.pl/upload/images/3/img1610.jpg;common;;2025-09-09
Drapion V;118;Lost Origin;K100R1P0525;2.93;https://sklep839679.shoparena.pl/upload/images/3/img1611.jpg;common;;2025-09-09
Kyurem V;48;Lost Origin;K100R1P0526;3.92;https://sklep839679.shoparena.pl/upload/images/3/img1612.jpg;common;;2025-09-09
Duraludon V;103;Crown Zenith;K100R1P0527;4.70;https://sklep839679.shoparena.pl/upload/images/3/img1613.jpg;common;;2025-09-09
Galarian Perrserker V;129;Lost Origin;K100R1P0528;3.90;https://sklep839679.shoparena.pl/upload/images/3/img1614.jpg;common;;2025-09-09
Suicune V;31;Evolving Skies;K100R1P0529;8.57;https://sklep839679.shoparena.pl/upload/images/3/img1615.jpg;common;;2025-09-09
Kyogre V;37;Crown Zenith;K100R1P0530;6.38;https://sklep839679.shoparena.pl/upload/images/3/img1616.jpg;common;;2025-09-09
Ice Rider Calyrex VMAX;46;Chilling Reign;K100R1P0531;6.69;https://sklep839679.shoparena.pl/upload/images/3/img1617.jpg;common;;2025-09-09
Dodrio V;201;Fusion Strike;K100R1P0532;5.07;https://sklep839679.shoparena.pl/upload/images/3/img1618.jpg;common;;2025-09-09
Boltund V;219;SWSH Black Star Promos;K100R1P0533;2.45;https://sklep839679.shoparena.pl/upload/images/3/img1619.jpg;common;;2025-09-09
Greedent V;120;Crown Zenith;K100R1P0534;4.49;https://sklep839679.shoparena.pl/upload/images/3/img1620.jpg;common;;2025-09-09
Kyurem VMAX;49;Lost Origin;K100R1P0535;7.63;https://sklep839679.shoparena.pl/upload/images/3/img1621.jpg;common;;2025-09-09
Zeraora V;53;Chilling Reign;K100R1P0536;6.01;https://sklep839679.shoparena.pl/upload/images/3/img1622.jpg;common;;2025-09-09
Simisear V;27;Brilliant Stars;K100R1P0537;3.97;https://sklep839679.shoparena.pl/upload/images/3/img1623.jpg;common;;2025-09-09
Conkeldurr V;40;Pokémon GO;K100R1P0538;3.24;https://sklep839679.shoparena.pl/upload/images/3/img1624.jpg;common;;2025-09-09
Starmie V;30;Astral Radiance;K100R1P0539;5.12;https://sklep839679.shoparena.pl/upload/images/3/img1625.jpg;common;;2025-09-09
Excadrill;174;Temporal Forces;K100R1P0540;29.94;https://sklep839679.shoparena.pl/upload/images/3/img1626.jpg;common;;2025-09-09
Wattrel;178;Twilight Masquerade;K100R1P0541;18.13;https://sklep839679.shoparena.pl/upload/images/3/img1627.jpg;common;;2025-09-09
Eiscue ex;210;Obsidian Flames;K100R1P0542;6.30;https://sklep839679.shoparena.pl/upload/images/3/img1628.jpg;common;;2025-09-09
Miraidon ex;79;Obsidian Flames;K100R1P0543;6.18;https://sklep839679.shoparena.pl/upload/images/3/img1629.jpg;common;;2025-09-09
Virizion V;164;Astral Radiance;K100R1P0544;15.62;https://sklep839679.shoparena.pl/upload/images/3/img1630.jpg;common;;2025-09-09
Armarouge;115;Paldean Fates;K100R1P0545;17.71;https://sklep839679.shoparena.pl/upload/images/3/img1631.jpg;common;;2025-09-09
Bellibolt;201;Obsidian Flames;K100R1P0546;16.56;https://sklep839679.shoparena.pl/upload/images/3/img1632.jpg;common;;2025-09-09
Annihilape ex;242;Paldea Evolved;K100R1P0547;13.64;https://sklep839679.shoparena.pl/upload/images/3/img1633.jpg;common;;2025-09-09
Great Tusk ex;230;Scarlet & Violet;K100R1P0548;7.68;https://sklep839679.shoparena.pl/upload/images/3/img1634.jpg;common;;2025-09-09
Eri;199;Temporal Forces;K100R1P0549;11.91;https://sklep839679.shoparena.pl/upload/images/3/img1635.jpg;common;;2025-09-09
Professor's Research;24;Celebrations;K100R1P0550;9.50;https://sklep839679.shoparena.pl/upload/images/3/img1636.jpg;common;;2025-09-09
Nemona;229;Paldean Fates;K100R1P0551;4.15;https://sklep839679.shoparena.pl/upload/images/3/img1637.jpg;common;;2025-09-09
Giacomo;138;Prismatic Evolutions;K100R1P0552;4.71;https://sklep839679.shoparena.pl/upload/images/3/img1638.jpg;common;;2025-09-09
Schoolboy;261;Fusion Strike;K100R1P0553;15.50;https://sklep839679.shoparena.pl/upload/images/3/img1639.jpg;common;;2025-09-09
Clive;227;Paldean Fates;K100R1P0554;2.51;https://sklep839679.shoparena.pl/upload/images/3/img1640.jpg;common;1;2025-09-09
Judge;228;Paldean Fates;K100R1P0555;2.98;https://sklep839679.shoparena.pl/upload/images/3/img1641.jpg;common;;2025-09-09
Iron Boulder ex;192;Temporal Forces;K100R1P0556;8.63;https://sklep839679.shoparena.pl/upload/images/3/img1642.jpg;common;;2025-09-09
Iron Crown ex;191;Temporal Forces;K100R1P0557;9.68;https://sklep839679.shoparena.pl/upload/images/3/img1643.jpg;common;;2025-09-09
Iron Thorns ex;196;Twilight Masquerade;K100R1P0558;12.71;https://sklep839679.shoparena.pl/upload/images/3/img1644.jpg;common;;2025-09-09
Ice Rider Calyrex VMAX;46;Chilling Reign;K100R1P0559;6.69;https://sklep839679.shoparena.pl/upload/images/3/img1645.jpg;common;;2025-09-09
Abomasnow;101;Paldean Fates;K100R1P0560;11.50;https://sklep839679.shoparena.pl/upload/images/3/img1646.jpg;common;;2025-09-09
Toxel;140;Paldean Fates;K100R1P0561;14.7;https://sklep839679.shoparena.pl/upload/images/3/img1647.jpg;common;;2025-09-09
Greedent;206;Paldean Fates;K100R1P0562;11.51;https://sklep839679.shoparena.pl/upload/images/3/img1648.jpg;common;;2025-09-09
Dondozo;126;Paldean Fates;K100R1P0563;11.62;https://sklep839679.shoparena.pl/upload/images/3/img1649.jpg;common;;2025-09-09
Kilowattrel ex;68;Surging Sparks;K100R1P0564;2.88;https://sklep839679.shoparena.pl/upload/images/3/img1650.jpg;common;;2025-09-09
Munkidori ex;37;Shrouded Fable;K100R1P0565;2.72;https://sklep839679.shoparena.pl/upload/images/3/img1651.jpg;common;;2025-09-09
Okidogi ex;36;Shrouded Fable;K100R1P0566;2.88;https://sklep839679.shoparena.pl/upload/images/3/img1652.jpg;common;;2025-09-09
Toedscruel ex;5;Paldean Fates;K100R1P0567;3.15;https://sklep839679.shoparena.pl/upload/images/3/img1653.jpg;common;;2025-09-09
Palafin ex;61;Twilight Masquerade;K100R1P0568;3.40;https://sklep839679.shoparena.pl/upload/images/3/img1654.jpg;common;;2025-09-09
Sinistcha ex;23;Twilight Masquerade;K100R1P0569;4.20;https://sklep839679.shoparena.pl/upload/images/3/img1655.jpg;common;;2025-09-09
Flamigo ex;160;Surging Sparks;K100R1P0570;2.46;https://sklep839679.shoparena.pl/upload/images/3/img1656.jpg;common;;2025-09-09
Hoopa ex;98;Paradox Rift;K100R1P0571;4.92;https://sklep839679.shoparena.pl/upload/images/3/img1657.jpg;common;;2025-09-09
Froslass ex;3;Paradox Rift;K100R1P0572;4.13;https://sklep839679.shoparena.pl/upload/images/3/img1658.jpg;common;;2025-09-09
Toxtricity ex;100;Paradox Rift;K100R1P0573;3.98;https://sklep839679.shoparena.pl/upload/images/3/img1659.jpg;common;;2025-09-09
Revavroom ex;15;Shrouded Fable;K100R1P0574;2.51;https://sklep839679.shoparena.pl/upload/images/3/img1660.jpg;common;;2025-09-09
Unown VSTAR;66;Silver Tempest;K100R1P0575;7.33;https://sklep839679.shoparena.pl/upload/images/3/img1661.jpg;common;;2025-09-09
Eevee V;108;Crown Zenith;K100R1P0576;16.38;https://sklep839679.shoparena.pl/upload/images/3/img1662.jpg;common;;2025-09-09
Magcargo ex;29;Twilight Masquerade;K100R1P0577;2.77;https://sklep839679.shoparena.pl/upload/images/3/img1663.jpg;common;;2025-09-09
Wellspring Mask Ogerpon ex;64;Twilight Masquerade;K100R1P0578;5.10;https://sklep839679.shoparena.pl/upload/images/3/img1664.jpg;common;;2025-09-09
Miraidon ex;122;Temporal Forces;K100R1P0579;3.40;https://sklep839679.shoparena.pl/upload/images/3/img1665.jpg;common;;2025-09-09
Bellibolt ex;79;Paldea Evolved;K100R1P0580;3.85;https://sklep839679.shoparena.pl/upload/images/3/img1666.jpg;common;;2025-09-09
Hisuian Lilligant V;17;Astral Radiance;K100R1P0581;4.95;https://sklep839679.shoparena.pl/upload/images/3/img1667.jpg;common;;2025-09-09
Aerodactyl V;92;Lost Origin;K100R1P0582;4.45;https://sklep839679.shoparena.pl/upload/images/3/img1668.jpg;common;;2025-09-09
Greedent V;53;Shining Fates;K100R1P0583;3.72;https://sklep839679.shoparena.pl/upload/images/3/img1669.jpg;common;;2025-09-09
Scovillain ex;37;Surging Sparks;K100R1P0584;2.88;https://sklep839679.shoparena.pl/upload/images/3/img1670.jpg;common;;2025-09-09
Spidops ex;19;Scarlet & Violet;K100R1P0585;2.93;https://sklep839679.shoparena.pl/upload/images/3/img1671.jpg;common;;2025-09-09
Iron Leaves ex;25;Temporal Forces;K100R1P0586;4.76;https://sklep839679.shoparena.pl/upload/images/3/img1672.jpg;common;;2025-09-09
Pidgeot ex;225;Obsidian Flames;K100R1P0587;70.79;https://sklep839679.shoparena.pl/upload/images/3/img1673.jpg;common;;2025-09-09
Sunflora;169;Twilight Masquerade;K100R1P0588;20.41;https://sklep839679.shoparena.pl/upload/images/3/img1674.jpg;common;;2025-09-09
Eternatus V;21;Lost Origin;K100R1P0589;23.55;https://sklep839679.shoparena.pl/upload/images/3/img1675.jpg;common;;2025-09-09
Iron Thorns ex;196;Twilight Masquerade;K100R1P0558;12.71;https://sklep839679.shoparena.pl/upload/images/3/img1676.jpg;common;;2025-09-09
Hyper Aroma;152;Twilight Masquerade;K100R1P0590;3.60;https://sklep839679.shoparena.pl/upload/images/3/img1677.jpg;common;;2025-09-09
Stunfisk;202;Surging Sparks;K100R1P0591;8.79;https://sklep839679.shoparena.pl/upload/images/3/img1678.jpg;common;1;2025-09-09
Frosmoth;7;SWSH Black Star Promos;K100R1P0592;65.40;https://sklep839679.shoparena.pl/upload/images/3/img1679.jpg;common;;2025-09-09
Vikavolt V;60;Darkness Ablaze;K100R1P0593;5.44;https://sklep839679.shoparena.pl/upload/images/3/img1680.jpg;common;;2025-09-09
Terapagos ex;92;Prismatic Evolutions;K100R1P0594;6.30;https://sklep839679.shoparena.pl/upload/images/3/img1681.jpg;common;;2025-09-09
Snorlax ex;76;Prismatic Evolutions;K100R1P0595;4.95;https://sklep839679.shoparena.pl/upload/images/3/img1682.jpg;common;;2025-09-09
Snorlax ex;76;Prismatic Evolutions;K100R1P0596;4.95;https://sklep839679.shoparena.pl/upload/images/3/img1683.jpg;common;;2025-09-09
Snorlax ex;76;Prismatic Evolutions;K100R1P0597;4.95;https://sklep839679.shoparena.pl/upload/images/3/img1684.jpg;common;;2025-09-09
Snorlax ex;76;Prismatic Evolutions;K100R1P0598;4.95;https://sklep839679.shoparena.pl/upload/images/3/img1685.jpg;common;;2025-09-09
Garchomp V;117;Astral Radiance;K100R1P0599;4.87;https://sklep839679.shoparena.pl/upload/images/3/img1686.jpg;common;;2025-09-09
Infernape V;252;SWSH Black Star Promos;K100R1P0600;6.28;https://sklep839679.shoparena.pl/upload/images/3/img1687.jpg;common;;2025-09-09
Dracovish V;114;Brilliant Stars;K100R1P0601;4.08;https://sklep839679.shoparena.pl/upload/images/3/img1688.jpg;common;;2025-09-09
Morpeko;206;Paradox Rift;K100R1P0602;73.57;https://sklep839679.shoparena.pl/upload/images/3/img1689.jpg;common;;2025-09-09
Alcremie VMAX;73;Shining Fates;K100R1P0603;13.45;https://sklep839679.shoparena.pl/upload/images/3/img1690.jpg;common;;2025-09-09
Magby;186;Paradox Rift;K100R1P0604;64.83;https://sklep839679.shoparena.pl/upload/images/3/img1691.jpg;common;;2025-09-09
Floragato;197;Paldea Evolved;K100R1P0605;49.08;https://sklep839679.shoparena.pl/upload/images/3/img1692.jpg;common;;2025-09-09
Snorunt;188;Paradox Rift;K100R1P0606;46.10;https://sklep839679.shoparena.pl/upload/images/4/img1693.jpg;common;;2025-09-09
Keldeo;7;Crown Zenith;K100R1P0607;37.65;https://sklep839679.shoparena.pl/upload/images/4/img1694.jpg;common;;2025-09-09
Absol;16;Crown Zenith;K100R1P0608;26.70;https://sklep839679.shoparena.pl/upload/images/4/img1695.jpg;common;;2025-09-09
Mudsdale;175;Temporal Forces;K100R1P0609;23.60;https://sklep839679.shoparena.pl/upload/images/4/img1696.jpg;common;;2025-09-09
Skeledirge ex;258;Paldea Evolved;K100R1P0610;93.50;https://sklep839679.shoparena.pl/upload/images/4/img1697.jpg;common;;2025-09-09
Drapion V;49;Crown Zenith;K100R1P0611;32.95;https://sklep839679.shoparena.pl/upload/images/4/img1698.jpg;common;;2025-09-09
Golisopod ex;246;Paradox Rift;K100R1P0612;85.50;https://sklep839679.shoparena.pl/upload/images/4/img1699.jpg;common;;2025-09-09
Bloodmoon Ursaluna ex;216;Twilight Masquerade;K100R1P0613;157.25;https://sklep839679.shoparena.pl/upload/images/4/img1700.jpg;common;;2025-09-09
Glaceon VSTAR;40;Crown Zenith;K100R1P0614;275.69;https://sklep839679.shoparena.pl/upload/images/4/img1701.jpg;common;;2025-09-09
Sandaconda V;252;Fusion Strike;K100R1P0615;27.43;https://sklep839679.shoparena.pl/upload/images/4/img1702.jpg;common;;2025-09-09
Noivern V;195;Evolving Skies;K100R1P0616;24.85;https://sklep839679.shoparena.pl/upload/images/4/img1703.jpg;common;;2025-09-09
Zeraora VSTAR;43;Crown Zenith;K100R1P0617;104.65;https://sklep839679.shoparena.pl/upload/images/4/img1704.jpg;common;;2025-09-09
Mew VMAX;30;Lost Origin;K100R1P0618;58.05;https://sklep839679.shoparena.pl/upload/images/4/img1705.jpg;common;;2025-09-09
